,lf_pm10_o,lf_pm10_p,ucm_pm10_o,ucm_pm10_p,utal_pm10_o,utal_pm10_p,lf_pm2_5_o,lf_pm2_5_p,ucm_pm2_5_o,ucm_pm2_5_p,utal_pm2_5_o,utal_pm2_5_p
57,11.0,17.176454575805806,12.0,19.77246320196535,28.11,34.907995563324675,1.0,2.5638239636672715,1.0,6.156527485835801,8.18,9.982515900065305
58,21.0,24.556612548047895,20.0,26.46017780927331,36.0,31.141978580474692,14.0,6.011094956323775,4.0,9.322235970267956,10.91,22.923059571414083
59,15.0,19.329018052204006,17.0,24.30505249379614,39.0,48.707643830132284,8.0,4.4032659320971055,5.0,7.849142736913057,25.0,23.475700538651196
60,4.0,17.721069753704725,44.0,38.52456350912955,53.54,45.05081950051398,4.0,1.0760779162021517,18.0,29.037553463866733,25.0,35.746225975072434
61,7.0,16.41584584328787,27.0,28.320207082500293,33.0,37.57031591268473,3.0,2.442309978590603,11.0,6.552233805036139,19.09,26.55643699005131
62,7.0,18.48850961517014,15.0,28.10064897312154,27.24,22.92314655215,2.0,2.5685094222312537,10.0,1.612662929990843,13.64,25.880784191900865
63,7.0,20.18475892291601,21.42,39.71759390521735,25.18,31.017294072812362,8.0,3.799352347863254,1.0,-0.9632908418913457,2.735,0.9058845050429687
64,6.0,21.82961015754611,37.88,38.62764959310544,42.0,38.78776672960137,8.0,3.4613156315531253,1.0,5.255733972517499,8.18,7.646610047809986
65,6.0,20.150152235892264,49.6,38.28759490385519,72.81,50.85446433510951,4.0,4.0732473658919215,4.515,11.480283748375857,23.0,32.777781709596596
66,3.0,21.148308973365197,46.11,48.733740928089496,70.02,59.04390857117907,3.0,4.266138065259838,12.07,14.662934774182357,31.0,33.407335551593924
67,5.0,19.031867885308632,32.38,49.871573101065415,63.31,46.80161865658764,2.0,5.312310839774102,14.79,11.054459153424702,23.98,31.56214288434412
68,3.0,34.21782894006023,48.74,45.5166546740111,43.27,43.13426440795902,2.0,12.38358980871264,14.79,20.18876050068327,15.33,25.496911250954877
69,3.0,33.4186897331718,43.37,54.98590875357771,40.0,39.737451602325535,3.0,12.189183870631146,21.0,21.466599011016804,17.0,24.377560461533047
70,7.0,15.700379977945955,35.14,41.30531783784933,35.23,41.39782536717046,1.0,14.103481004258729,2.515,0.607799893000003,8.18,5.615729854802289
71,10.0,16.32861447340004,59.83,41.67194286090201,58.23,45.83359989494431,9.0,14.600096349310665,9.16,10.808639870197494,10.91,17.717706058243103
72,9.0,104.55755536202813,84.5,49.355098786228616,73.78,44.53921272206767,118.85,14.128135394828508,16.58,32.56697412371596,16.36,39.38645059884898
73,17.0,20.991635085407466,70.8,53.750744933878615,77.14,54.752608041873266,11.0,20.974216147379245,20.22,29.003314614529355,21.81,44.00803159966
74,11.0,11.54740710483173,81.7,58.87048802663178,64.53,50.05783187749035,10.0,11.937323382291478,25.65,38.54526031155524,20.62,39.0411401516978
75,14.0,12.794610597597025,59.57,50.8230399717375,68.04,50.832312848754846,6.0,14.828617658258846,18.35,29.15800747117125,25.0,41.54883431786528
76,18.0,10.555785732320468,46.12,40.33645623223106,46.53,48.77081519336711,5.0,19.03387253948492,14.79,20.238687547537463,20.73,26.65966271810964
77,8.0,19.510067667027755,18.68,39.11456703847015,30.0,42.611058372374075,1.0,-0.539951860986918,1.0,9.459257623438305,10.91,8.950723776794728
78,31.0,21.933693308760823,26.91,34.13778860195598,39.29,38.63102523688238,2.0,8.055536854805968,3.922,3.341772225047486,13.63,12.272774387979952
79,50.0,37.53506162499133,21.42,37.19265549863907,47.99,43.878620004534454,8.0,17.75379465413757,1.206,3.294465467422187,13.63,17.916788955472136
80,98.0,51.11028623418876,15.94,38.03287628136451,56.25,47.51343282730375,33.0,50.952280809365774,3.669,3.1071684551361924,18.0,26.29793566334896
81,178.0,124.83910249423394,40.63,40.804638358942185,52.16,42.67042308881024,78.0,111.2135190625391,8.86,15.72163934506668,18.0,29.58608768598709
82,119.0,127.66455891418613,35.14,35.55422977969009,37.11,44.87076246961203,84.0,67.93512378852571,4.072,18.656389788988722,19.08,25.580508735743386
83,119.0,89.22399354040901,35.14,36.4847030531469,55.23,45.71927630962074,66.0,74.3010276038921,6.209,20.654201916885704,20.0,37.13614629150658
84,18.0,40.66326417075186,23.83,41.885880340629654,32.0,43.40747808658238,8.0,3.8143686291252514,3.922,2.0738419054080404,10.91,5.641284915099579
85,30.0,25.423340135183516,29.65,48.61326185378827,42.32,49.807681731442244,4.0,11.584410687965189,4.697,3.9184368093768587,17.0,11.64940222715247
86,20.0,39.96418676584229,79.03,49.37728025777639,67.4,61.5673631459849,16.0,7.231052221451408,14.79,31.10532720957514,25.0,31.045628053527572
87,25.0,24.459651072236987,22.0,34.84280244831511,39.0,38.87029239971076,8.0,9.772042381739238,6.141,8.67779699633287,13.61,22.91096680933613
88,18.0,25.585536581047343,24.17,32.629363240066475,43.41,38.35376080728016,5.0,8.735431110378451,4.783,9.400932804506484,13.63,24.211215879842726
89,22.0,40.749520871280396,26.91,40.20556802455556,56.41,36.78851185663607,19.0,13.196738380747522,6.154,11.217166932952834,13.63,33.40315053404662
90,25.0,31.844653745449293,37.88,43.85240032288931,40.3,36.35697023784001,10.0,14.50510675748831,14.79,18.611187531491794,13.63,22.987843635519887
91,20.0,53.30418317360546,24.48,36.43911744220202,35.0,41.302370854008835,25.0,6.367706644327969,9.36,3.884386211696146,13.63,5.878242099798502
92,52.0,35.77491786958059,26.91,36.57752501096727,40.87,45.65316027377998,16.0,22.806121199041012,9.37,5.922990486905822,18.0,11.479222664139769
93,80.0,54.080088517826,37.88,41.68632017051176,91.0,95.73532341692955,23.0,41.49776960396548,12.07,16.081493922258318,54.5,52.913373735937085
94,107.0,88.76756150481066,48.85,52.17492135643617,77.98,70.30240173166618,53.0,68.93666633969124,20.22,23.041820733980444,39.0,47.24808808469481
95,195.0,127.6080179983522,24.54,39.99500218318106,56.46,50.963959084812174,100.0,131.83529617587564,14.79,12.511983919044374,24.53,31.253256477556896
96,221.0,183.29412917658848,15.94,34.64162479682189,51.44,46.638045963206864,138.0,153.63525045091023,11.64,8.597403050860498,19.08,31.513800250084792
97,135.0,149.93051486616469,14.78,31.28754591458252,38.33,44.93412530416384,116.0,89.15120088901133,6.824,7.210519817623869,20.0,27.315663353700455
98,31.0,53.309773528690194,29.65,44.98287725453498,27.0,42.46307924109611,31.0,15.25011729338522,10.09,4.361334595468089,12.27,3.909038975625532
99,55.0,54.936981850324216,46.13,45.63821525198078,32.29,44.49655278369094,23.0,25.035086978125243,12.07,12.121288449366682,13.63,7.287588878417484
100,97.0,87.06592486215115,44.53,50.55687166996116,60.82,54.1192708592564,55.0,52.37245602084846,20.23,13.368668537242979,20.71,28.682861782950354
101,127.0,93.96981759967275,73.54,60.76189336382933,67.33,63.201511143400204,66.0,80.35631057771188,28.37,35.3088262081528,36.0,37.756430903782885
102,110.0,107.47404339146502,87.3,64.27733202166455,124.6,84.28715930712704,84.0,79.53797838132203,33.79,45.784515605594635,61.0,86.04471275071619
103,97.0,102.02175003429969,106.5,65.2678244366301,65.08,52.86242960698467,78.0,68.09271007591205,37.0,59.51416071268027,32.7,40.71498787704093
104,123.0,112.90943776610973,43.37,52.13254205775946,65.76,53.30942756393265,85.0,85.6020131861681,21.0,19.883965359414184,31.0,47.67805819455834
105,24.0,38.335825193141574,35.15,40.73648982581513,31.09,44.29289474022455,9.0,8.955513015027535,6.639,4.864376777733808,10.91,4.9309860768294325
106,53.0,39.52383349860251,84.5,40.444725367514735,39.27,53.55495696478857,6.0,20.75480464897083,9.35,34.54635946472892,17.0,10.671796568039271
107,72.0,54.02006221650365,48.85,49.96327319780467,55.27,49.60927589182132,25.0,35.21380707629286,14.79,16.029536330520116,16.36,28.604789654891004
108,90.0,70.9177532526601,81.8,62.39978439569246,65.14,61.29536671824143,38.0,47.444953308445804,22.92,39.90796630025325,29.0,41.07007460247866
109,32.0,58.61075538134164,87.3,67.02590286304815,67.35,68.15122237228752,30.0,17.75188046046408,32.0,48.27187647922424,31.0,38.6739560150637
110,25.0,49.743225812084916,70.8,59.62513044446339,43.83,41.263411839383465,21.0,14.462797207312741,25.47,39.64343814073092,17.0,25.872842527227952
111,12.0,37.668385349853935,48.85,56.40350962012636,39.69,42.208064095701545,12.0,8.432791513763316,22.93,23.510395653320963,13.63,16.05596620201704
112,20.0,22.830766105100498,43.31,55.70478365863278,26.16,40.68715438835056,5.0,4.068695336687492,6.639,9.93494884456251,10.35,1.5634041674447463
113,49.0,45.895705087725425,54.34,54.427103361377775,42.64,63.77163375367725,29.0,16.464006426493416,6.67,14.556027772854334,30.9,8.99749576050908
114,46.0,37.6937278032613,87.3,55.93318753182283,66.97,71.23255290198662,15.0,16.0764544818677,18.0,31.25581831059994,30.9,31.25173904233729
115,50.0,49.773857609863676,98.2,51.29607966976301,105.1,72.11583532249304,26.0,19.363606313345507,14.79,46.93847861292825,30.9,64.16136761415913
116,42.0,38.15080713988378,84.5,76.17716710307428,98.3,64.72872735882777,16.0,22.799810241130203,35.0,40.45212737926797,31.175,59.58280174463861
117,21.0,33.526642929403764,48.85,49.34840360748346,74.57,59.212914043091466,10.0,12.459324234675115,14.62,23.97117707356221,30.9,41.76229295724234
118,22.0,34.47698553504341,18.62,43.492244337733055,41.66,61.74457876009659,14.0,11.679285139672764,9.37,15.199138095761116,30.9,23.277468855713376
119,36.0,32.737677992332365,70.8,47.12001585934732,31.48,34.07033814818308,4.0,8.963157213013968,6.639,27.614556660439906,8.18,9.433665331600606
120,80.0,47.665252144991214,114.7,47.2478333897978,49.32,48.34901731546686,17.0,25.241232202839434,6.738,56.0614258574464,17.0,19.881634137317263
121,105.0,76.5286051167391,40.63,42.55014277457404,50.18,52.70761772273424,36.0,48.63209871460927,7.218,21.17185672109823,20.0,26.590600121972404
122,80.0,65.40149866304137,40.43,43.01742665306098,56.13,44.819321733900985,40.0,44.82110486296193,9.35,11.217811056377117,15.42,28.484196723928733
123,98.0,90.95671267334009,54.34,54.76691840404086,69.9,51.85366112421589,55.0,53.43321269215085,17.43,23.56372931305919,25.0,34.28794366207418
124,72.0,67.71359947111684,43.37,51.10681246891903,42.6,43.338156650028125,42.0,48.11894899333229,12.07,15.850109410805143,13.63,19.142692333114717
125,57.0,65.85574591759055,40.64,50.43651270055816,33.13,40.27219829918198,43.0,38.48113102759569,12.07,19.208767312775613,13.63,20.709533010336546
126,47.0,59.295219690370615,19.0,31.020706357382497,23.75,31.383616918232896,34.5,18.581705615590245,14.79,15.524632907167923,12.28,23.449105038874198
127,72.0,60.63664504420279,15.89,19.058771115727364,21.81,19.1107320352124,34.5,31.9711028207238,4.208,8.887327153500276,10.53,21.571883568255448
128,73.0,63.03705378309285,15.86,21.151328695240853,21.86,21.202676660860206,34.5,35.63067779907921,5.769,8.274249645058097,8.18,20.908688136695314
129,78.0,60.55034665814032,10.45,20.969594316370568,17.02,24.609347959491792,34.5,40.53046908227117,5.616,6.277636298830348,10.91,13.88785636389989
